SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled
S141,2,2,1,63,41,21,1,0.02711805556,0.983,0.017,0.000,0.017,2,1,-999,-999,10,9,10,9,F,3,-1,-999,57,57,53,-999,53,-4
S142,3,1,1,63,25,38,0,0.02872685185,0.001,0.225,0.774,1.773,1,1,8,10,-999,-999,8,10,F,7,2,50,-999,50,-999,57,57,7
S143,1,2,2,63,34,27,2,0.00000036169,0.926,0.074,0.000,0.074,2,1,-999,-999,12,15,12,15,F,7,3,-999,63,63,67,-999,67,4
S144,2,2,1,63,41,7,15,0.00000036169,0.995,0.005,0.000,0.005,1,1,14,16,-999,-999,14,16,F,7,2,64,-999,64,-999,69,69,5
S145,3,1,1,63,19,44,0,0.02452546296,0.000,0.051,0.948,1.948,2,1,-999,-999,6,7,6,7,F,7,1,-999,45,45,47,-999,47,2
S146,1,2,2,63,20,23,20,0.00000036169,0.043,0.736,0.221,1.178,1,1,10,11,-999,-999,10,11,F,7,1,56,-999,56,-999,57,57,1
S147,2,2,1,63,38,24,1,0.02862268519,0.957,0.043,0.000,0.043,2,1,-999,-999,13,13,13,13,M,7,0,-999,66,66,64,-999,64,-2
S148,3,1,1,63,40,23,0,0.02197916667,0.774,0.226,0.001,0.227,1,1,8,13,-999,-999,8,13,F,8,5,50,-999,50,-999,66,66,16
S149,1,2,2,63,42,20,1,0.02216435185,0.743,0.257,0.001,0.258,2,1,-999,-999,12,16,12,16,F,7,4,-999,60,60,70,-999,70,10
S150,2,2,1,63,32,31,0,0.03062500000,0.065,0.823,0.112,1.046,1,1,9,16,-999,-999,9,16,M,7,7,53,-999,53,-999,72,72,19
S151,3,1,1,63,29,34,0,0.02196759259,0.217,0.755,0.028,0.812,2,1,-999,-999,10,15,10,15,F,2,5,-999,57,57,70,-999,70,13
S152,1,2,2,63,31,21,11,0.00000036169,0.749,0.250,0.001,0.252,1,1,17,11,-999,-999,17,11,F,3,-6,73,-999,73,-999,60,60,-13
S153,2,2,1,63,22,41,0,0.01916666667,0.000,0.003,0.997,1.997,2,1,-999,-999,7,16,7,16,M,7,9,-999,48,48,70,-999,70,22
S154,3,1,1,63,51,12,0,0.03116898148,0.983,0.017,0.000,0.017,1,1,10,15,-999,-999,10,15,M,7,5,56,-999,56,-999,72,72,16
S155,1,2,2,63,28,31,4,0.00000036169,0.022,0.771,0.207,1.185,2,1,-999,-999,6,12,6,12,M,6,6,-999,45,45,58,-999,58,13
S156,2,2,1,63,40,22,1,0.02670138889,0.148,0.811,0.041,0.892,1,1,14,16,-999,-999,14,16,M,7,2,67,-999,67,-999,72,72,5
S157,1,2,2,63,19,44,0,0.02010416667,0.000,0.017,0.983,1.983,1,2,7,11,-999,-999,7,11,F,8,4,47,-999,47,-999,54,54,7
S158,2,2,1,63,37,25,1,0.02870370370,0.605,0.393,0.002,0.396,2,2,-999,-999,11,14,11,14,F,8,3,-999,57,57,67,-999,67,10
S159,3,1,1,63,25,38,0,0.02900462963,0.001,0.197,0.802,1.802,1,2,7,9,-999,-999,7,9,F,7,2,47,-999,47,-999,48,48,1
S160,1,2,2,63,33,29,1,0.00000036169,0.009,0.572,0.418,1.409,2,2,-999,-999,7,10,7,10,M,7,3,-999,45,45,53,-999,53,8
S161,2,2,1,63,27,36,0,0.01505787037,0.001,0.292,0.707,1.705,1,2,6,5,-999,-999,6,5,F,7,-1,44,-999,44,-999,42,42,-2
S162,3,1,1,63,8,55,0,0.01318287037,0.000,0.000,1.000,2.000,2,2,-999,-999,8,11,8,11,F,3,3,-999,48,48,58,-999,58,10
S163,1,2,2,63,18,45,0,0.01260416667,0.002,0.176,0.822,1.820,1,2,8,13,-999,-999,8,13,M,7,5,44,-999,44,-999,66,66,22
S164,2,2,1,63,22,41,0,0.02240740741,0.001,0.171,0.828,1.826,2,2,-999,-999,9,9,9,9,F,6,0,-999,51,51,50,-999,50,-1
S165,3,1,1,63,17,46,0,0.02055555556,0.000,0.003,0.997,1.997,1,2,7,12,-999,-999,7,12,F,2,5,44,-999,44,-999,60,60,16
S166,1,2,2,63,14,49,0,0.01850694444,0.000,0.001,0.999,1.999,2,2,-999,-999,5,11,5,11,F,5,6,-999,36,36,58,-999,58,22
